time,SplyExpFut10yr
2010-10-04,18114150.0
2010-10-05,18115725.0
2010-10-06,18117862.5
2010-10-07,18119862.5
2010-10-08,18121787.5
2010-10-09,18123762.5
2010-10-10,18125987.5
2010-10-11,18127975.0
2010-10-12,18129912.5
2010-10-13,18132112.5
2010-10-14,18134675.0
2010-10-15,18136887.5
2010-10-16,18140112.5
2010-10-17,18143487.5
2010-10-18,18146600.0
2010-10-19,18149800.0
2010-10-20,18153100.0
2010-10-21,18155425.0
2010-10-22,18157350.0
2010-10-23,18159537.5
2010-10-24,18162100.0
2010-10-25,18164637.5
2010-10-26,18167650.0
2010-10-27,18170312.5
2010-10-28,18173050.0
2010-10-29,18175837.5
2010-10-30,18178987.5
2010-10-31,18181225.0
2010-11-01,18183437.5
2010-11-02,18185637.5
2010-11-03,18188012.5
2010-11-04,18190525.0
2010-11-05,18193262.5
2010-11-06,18195987.5
2010-11-07,18199000.0
2010-11-08,18202437.5
2010-11-09,18205150.0
2010-11-10,18207687.5
2010-11-11,18210425.0
2010-11-12,18212537.5
2010-11-13,18215325.0
2010-11-14,18218525.0
2010-11-15,18221025.0
2010-11-16,18223487.5
2010-11-17,18226575.0
2010-11-18,18229787.5
2010-11-19,18231662.5
2010-11-20,18233112.5
2010-11-21,18234862.5
2010-11-22,18236900.0
2010-11-23,18238650.0
2010-11-24,18240862.5
2010-11-25,18243125.0
2010-11-26,18245550.0
2010-11-27,18247800.0
2010-11-28,18249950.0
2010-11-29,18252562.5
2010-11-30,18255087.5
2010-12-01,18257437.5
2010-12-02,18259787.5
2010-12-03,18262150.0
2010-12-04,18265012.5
2010-12-05,18268000.0
2010-12-06,18271012.5
2010-12-07,18274000.0
2010-12-08,18276975.0
2010-12-09,18279762.5
2010-12-10,18281600.0
2010-12-11,18283787.5
2010-12-12,18285925.0
2010-12-13,18287687.5
2010-12-14,18289825.0
2010-12-15,18292275.0
2010-12-16,18294437.5
2010-12-17,18296512.5
2010-12-18,18298525.0
2010-12-19,18300825.0
2010-12-20,18302812.5
2010-12-21,18305262.5
2010-12-22,18307225.0
2010-12-23,18309037.5
2010-12-24,18310887.5
2010-12-25,18312987.5
2010-12-26,18314800.0
2010-12-27,18316875.0
2010-12-28,18318987.5
2010-12-29,18321050.0
2010-12-30,18323162.5
2010-12-31,18325187.5
2011-01-01,18327450.0
2011-01-02,18329637.5
2011-01-03,18331587.5
2011-01-04,18333350.0
2011-01-05,18335275.0
2011-01-06,18337037.5
2011-01-07,18339087.5
2011-01-08,18341212.5
2011-01-09,18343250.0
2011-01-10,18345275.0
2011-01-11,18347425.0
2011-01-12,18349512.5
2011-01-13,18351862.5
2011-01-14,18354125.0
2011-01-15,18356087.5
2011-01-16,18358262.5
2011-01-17,18360525.0
2011-01-18,18362287.5
2011-01-19,18364400.0
2011-01-20,18366725.0
2011-01-21,18368900.0
2011-01-22,18370962.5
2011-01-23,18373087.5
2011-01-24,18375218.75
2011-01-25,18376193.75
2011-01-26,18377318.75
2011-01-27,18378318.75
2011-01-28,18379306.25
2011-01-29,18380312.5
2011-01-30,18381287.5
2011-01-31,18382350.0
2011-02-01,18383375.0
2011-02-02,18384362.5
2011-02-03,18385362.5
2011-02-04,18386575.0
2011-02-05,18387693.75
2011-02-06,18388800.0
2011-02-07,18390068.75
2011-02-08,18391118.75
2011-02-09,18392318.75
2011-02-10,18393481.25
2011-02-11,18394643.75
2011-02-12,18395868.75
2011-02-13,18397106.25
2011-02-14,18398331.25
2011-02-15,18399737.5
2011-02-16,18401187.5
2011-02-17,18402631.25
2011-02-18,18403956.25
2011-02-19,18404962.5
