time,FeeMeanNtv
2016-05-16,0.0002516753353907366
2016-05-17,0.00024482426253114123
2016-05-18,0.00024848169985990283
2016-05-19,0.0002514380497759094
2016-05-20,0.00025778527131819465
2016-05-21,0.00028621286528533594
2016-05-22,0.0002345815928002456
2016-05-23,0.00024539484844249553
2016-05-24,0.0002410398665207061
2016-05-25,0.0002416816120293038
2016-05-26,0.00025482853669095895
2016-05-27,0.00032979932032759987
2016-05-28,0.00026999577973057127
2016-05-29,0.00026854773587327394
2016-05-30,0.00027259372353697904
2016-05-31,0.00024271776925852012
2016-06-01,0.00024106299447215857
2016-06-02,0.00025242717546782874
2016-06-03,0.00023357843037820003
2016-06-04,0.00023642422709401663
2016-06-05,0.0002328314607790892
2016-06-06,0.00023602830981231122
2016-06-07,0.00022660668338087754
2016-06-08,0.00021984417641631617
2016-06-09,0.00022550214149404948
2016-06-10,0.00023129541663182817
2016-06-11,0.00021732725866521936
2016-06-12,0.0002498704352554588
2016-06-13,0.0002519853493526834
2016-06-14,0.0002825896962898555
2016-06-15,0.0003227975910583026
2016-06-16,0.00030726007451214505
2016-06-17,0.00031166879068620843
2016-06-18,0.00030070189597222947
2016-06-19,0.0002888214365908819
2016-06-20,0.00030775576002349943
2016-06-21,0.00030924329250749344
2016-06-22,0.00033514628240446107
2016-06-23,0.0003104066908194685
2016-06-24,0.00031197670415952306
2016-06-25,0.0002929034095994322
2016-06-26,0.00030048744058661564
2016-06-27,0.00028558053545928126
2016-06-28,0.0002740633941003996
2016-06-29,0.00027397256307683276
2016-06-30,0.0002735743498830733
2016-07-01,0.0002765806977225739
2016-07-02,0.00026745513817420205
2016-07-03,0.0002577780622251697
2016-07-04,0.0002584109543059036
2016-07-05,0.0002591525814841617
2016-07-06,0.00025864721224652795
2016-07-07,0.00026400547344404573
2016-07-08,0.00027115405285883115
2016-07-09,0.0002556583948623498
2016-07-10,0.00023755121221638546
2016-07-11,0.0002624588929533413
2016-07-12,0.00023343324014428915
2016-07-13,0.00024783566045057684
2016-07-14,0.00026470406861005204
2016-07-15,0.0002538315488352406
2016-07-16,0.0002834699057720945
2016-07-17,0.0002747872361667249
2016-07-18,0.0002636404879336577
2016-07-19,0.000281332592818496
2016-07-20,0.0002830323900798363
2016-07-21,0.0002779960610280119
2016-07-22,0.00030192849106468926
2016-07-23,0.0002984519757766407
2016-07-24,0.0002789145789682979
2016-07-25,0.0002894566692686114
2016-07-26,0.0002988326235393632
2016-07-27,0.000318879815921916
2016-07-28,0.0003023081480452774
2016-07-29,0.0003141227041006025
2016-07-30,0.00033339375218170665
2016-07-31,0.0003837892927685959
2016-08-01,0.00031605445664383924
2016-08-02,0.00032691024397189333
2016-08-03,0.0003113661108564217
2016-08-04,0.000299464126657484
2016-08-05,0.00032875070373664507
2016-08-06,0.0003042792188628896
2016-08-07,0.0003504755286286422
2016-08-08,0.0003685067202891375
2016-08-09,0.00032004237750519755
2016-08-10,0.00030847977283494904
2016-08-11,0.0003133891243731793
2016-08-12,0.0003043722369432168
2016-08-13,0.0002917046803087443
2016-08-14,0.0003083407468318417
2016-08-15,0.00034199739064956844
2016-08-16,0.0003226188757951976
2016-08-17,0.00031037560392912133
2016-08-18,0.0003210956683898319
2016-08-19,0.0003275208577235312
2016-08-20,0.00029263094179149445
2016-08-21,0.00027885753113490876
2016-08-22,0.00028456384524467557
2016-08-23,0.00028381656719751557
2016-08-24,0.000274505864737907
2016-08-25,0.0002766329062399071
2016-08-26,0.00027538107981939144
2016-08-27,0.00029069467889505576
2016-08-28,0.00028031532762329937
2016-08-29,0.0002852190002171723
2016-08-30,0.0002684004726933331
2016-08-31,0.0002778346904147841
2016-09-01,0.0002670452320117984
2016-09-02,0.0002542859687554128
2016-09-03,0.00028396953540786216
2016-09-04,0.00025420288356880246
2016-09-05,0.0002779266919805436
2016-09-06,0.00026036553837116533
2016-09-07,0.00025376578079687603
2016-09-08,0.0002637974435776673
2016-09-09,0.0002880464114783073
2016-09-10,0.00026402093208086617
2016-09-11,0.0002633469933612222
2016-09-12,0.0002670524552758738
2016-09-13,0.00028573126809506384
2016-09-14,0.00026863540170253265
2016-09-15,0.00025574882057452037
2016-09-16,0.00030170144380858486
2016-09-17,0.000269143839670912
2016-09-18,0.00027742848965631644
2016-09-19,0.00029523577793993716
2016-09-20,0.00027998777425129365
2016-09-21,0.0002713852165455857
2016-09-22,0.0002714545633138285
2016-09-23,0.000270566197991165
2016-09-24,0.00028103378077387343
2016-09-25,0.0002544770213482098
2016-09-26,0.0002624175919151164
2016-09-27,0.00026391384345560555
2016-09-28,0.0002759202492634358
2016-09-29,0.0002806081184948678
2016-09-30,0.0002734730861489629
2016-10-01,0.00027408488932663394
2016-10-02,0.00028767971422564157
2016-10-03,0.0002837498129912159
2016-10-04,0.0002697552836361536
2016-10-05,0.00027187925293934643
2016-10-06,0.00028289931775441396
2016-10-07,0.0002707736959556154
2016-10-08,0.0002699499653128153
2016-10-09,0.0002768917486739715
2016-10-10,0.000303471523248368
2016-10-11,0.0003066192317784787
2016-10-12,0.0002936461893660799
2016-10-13,0.0002922742411191609
2016-10-14,0.00028373476645420236
2016-10-15,0.0002997201524796753
2016-10-16,0.0002908596943541069
2016-10-17,0.0003032829845961471
2016-10-18,0.0003079121737444271
2016-10-19,0.00033801784397956226
2016-10-20,0.0003138028538202159
2016-10-21,0.00028589208246961213
2016-10-22,0.0003063954396820148
2016-10-23,0.0003628537093654533
2016-10-24,0.0003636487870237908
2016-10-25,0.0004166089112787288
2016-10-26,0.0005597253116684463
2016-10-27,0.000331684085081422
2016-10-28,0.0003276221334577334
2016-10-29,0.0003170521787191413
2016-10-30,0.00029973725354885965
2016-10-31,0.00031730634890591317
2016-11-01,0.0003209194329393261
2016-11-02,0.0002940743049384771
2016-11-03,0.0002922974446871792
2016-11-04,0.00033825565041590585
2016-11-05,0.00030994525052590433
2016-11-06,0.00031343981835818703
2016-11-07,0.0003313562464912924
2016-11-08,0.0003028792348113068
2016-11-09,0.00031040066326380565
2016-11-10,0.0003027062214753238
2016-11-11,0.00028657355507037333
2016-11-12,0.00028750476022099125
2016-11-13,0.0002858579668648329
2016-11-14,0.00029366188598999954
2016-11-15,0.0002910248547943354
2016-11-16,0.0002735211875127849
2016-11-17,0.00032276548596665405
2016-11-18,0.00030301602670250184
2016-11-19,0.00028782173638816584
2016-11-20,0.0003031835934260072
