time,FeeMeanUSD
2018-12-26,0.21638255110681576
2018-12-27,0.20582961571537342
2018-12-28,0.22459191469889325
2018-12-29,0.22145863205396857
2018-12-30,0.19548656399300887
2018-12-31,0.22708491970946615
2019-01-01,0.18189272808486961
2019-01-02,0.26162983461482575
2019-01-03,0.2514020663700143
2019-01-04,0.2613447733290765
2019-01-05,0.17682353688633143
2019-01-06,0.26187683486927
2019-01-07,0.3373249786655287
2019-01-08,0.25970315360720997
2019-01-09,0.30682797466825706
2019-01-10,0.2848423354149721
2019-01-11,0.2862027440363329
2019-01-12,0.21713647017335497
2019-01-13,0.179082667475482
2019-01-14,0.22466635909210717
2019-01-15,0.2559233026323205
2019-01-16,0.29615632391009233
2019-01-17,0.28967016083616837
2019-01-18,0.24200040503960793
2019-01-19,0.2307314410797717
2019-01-20,0.17273252666735098
2019-01-21,0.22464912490143094
2019-01-22,0.2530947368574971
2019-01-23,0.2751952903126274
2019-01-24,0.2668124928332305
2019-01-25,0.29430967925255713
2019-01-26,0.24218124739679797
2019-01-27,0.20409943542378703
2019-01-28,0.2728717686811512
2019-01-29,0.23709478076647472
2019-01-30,0.22879288307482856
2019-01-31,0.29397817746751914
2019-02-01,0.3213874228369159
2019-02-02,0.2011023832070298
2019-02-03,0.1678923923716223
2019-02-04,0.17402867426018026
2019-02-05,0.16569777023727666
2019-02-06,0.21052343233610393
2019-02-07,0.16132876335089416
2019-02-08,0.22449157183140594
2019-02-09,0.2034783199559475
2019-02-10,0.17434834807988775
2019-02-11,0.26748698132963683
2019-02-12,0.44796252838353257
2019-02-13,0.35473233311689556
2019-02-14,0.26209255781183016
2019-02-15,0.3205416537661361
2019-02-16,0.2392300649251211
2019-02-17,0.21102091345813784
2019-02-18,0.3398827649377535
2019-02-19,0.40946218866119743
2019-02-20,0.46954887942605333
2019-02-21,0.4627260242655509
2019-02-22,0.4326431363388429
2019-02-23,0.3223110416493305
2019-02-24,0.3402362682699029
2019-02-25,0.44983650972767003
2019-02-26,0.3702409014727898
2019-02-27,0.35522927148139477
2019-02-28,0.31446330686009044
2019-03-01,0.32597480124761397
2019-03-02,0.28244802612229836
2019-03-03,0.22908955066835754
2019-03-04,0.35234504727942806
