time,FlowInExUSD
2018-04-19,358177292.2746543
2018-04-20,568648224.4752287
2018-04-21,382837284.7104001
2018-04-22,266672687.54962885
2018-04-23,350525780.1175337
2018-04-24,895535193.5493377
2018-04-25,447941627.51446384
2018-04-26,387050104.7453171
2018-04-27,402233039.8375963
2018-04-28,567366649.1299982
2018-04-29,294503917.74159753
2018-04-30,330890547.6184462
2018-05-01,270880092.67700034
2018-05-02,279944564.6491696
2018-05-03,463086868.3955577
2018-05-04,436167196.2558646
2018-05-05,264745038.20697993
2018-05-06,285817883.86228806
2018-05-07,411134270.1265382
2018-05-08,360825130.8282805
2018-05-09,299635816.4037815
2018-05-10,369852088.24236333
2018-05-11,428702246.04900235
2018-05-12,249581187.37428892
2018-05-13,192643740.4820431
2018-05-14,347332158.41810834
2018-05-15,266084945.4994658
2018-05-16,268512941.55012274
2018-05-17,260105741.35176188
2018-05-18,310029485.1316771
2018-05-19,125628546.8433342
2018-05-20,154012381.14384755
2018-05-21,258643248.00070208
2018-05-22,222709188.04307687
2018-05-23,371974843.1734245
2018-05-24,347242471.042207
2018-05-25,209671813.18854725
2018-05-26,116330169.32982808
2018-05-27,106851111.01046889
2018-05-28,229649491.1570188
2018-05-29,314100136.2959108
2018-05-30,225595627.67039537
2018-05-31,239980573.3335621
2018-06-01,236263602.55050588
2018-06-02,164985285.10818785
2018-06-03,156921704.30500108
2018-06-04,227522911.1639126
2018-06-05,204347437.15078792
2018-06-06,228039867.88497776
2018-06-07,194909689.11164963
2018-06-08,182739349.60970452
2018-06-09,141419383.72249633
2018-06-10,229563133.7667328
2018-06-11,273178976.4072818
2018-06-12,238249430.34983057
2018-06-13,260346482.0361506
2018-06-14,272070324.8677732
2018-06-15,193485332.5941992
2018-06-16,98546168.51585539
2018-06-17,139030593.78614017
2018-06-18,180243468.92750815
2018-06-19,160651256.4558249
2018-06-20,165213294.94546115
2018-06-21,198969017.97231928
2018-06-22,270358591.1145063
2018-06-23,105453615.80720888
2018-06-24,166544863.7141014
2018-06-25,234123398.49523053
2018-06-26,159959752.58362243
2018-06-27,227467622.47861433
2018-06-28,191765814.53883737
2018-06-29,196539605.5270268
2018-06-30,148932045.72947246
2018-07-01,91493386.13088208
2018-07-02,205377021.3498408
2018-07-03,179483014.70606002
2018-07-04,144018477.17652595
2018-07-05,228941138.0249147
2018-07-06,214945977.72626844
2018-07-07,97568446.67199317
2018-07-08,92769246.43766464
2018-07-09,142747190.97826618
2018-07-10,197823916.05328456
2018-07-11,150551748.73458165
2018-07-12,143136295.3839309
2018-07-13,170825921.28822216
2018-07-14,66484722.132611
2018-07-15,85654557.52889904
2018-07-16,221834601.65092203
2018-07-17,254126285.34638736
2018-07-18,265487712.32144415
2018-07-19,206985767.65014327
2018-07-20,252230841.61125892
2018-07-21,130995425.0171179
2018-07-22,88443623.45667537
2018-07-23,273792177.62841195
2018-07-24,348254502.0197166
2018-07-25,273082450.57058865
2018-07-26,190715983.19108155
2018-07-27,221237725.2500026
2018-07-28,99915927.84723893
2018-07-29,95859671.86099508
2018-07-30,241694129.3466719
2018-07-31,261356235.31822455
2018-08-01,201489738.9193244
2018-08-02,180719688.67295295
2018-08-03,257403441.66828611
2018-08-04,121072419.54992928
2018-08-05,101437056.25944202
2018-08-06,144072978.6105379
2018-08-07,195920486.17288616
2018-08-08,246257765.0462993
2018-08-09,241198081.87272495
2018-08-10,164916689.13121283
2018-08-11,128858758.92465608
2018-08-12,93321288.67658578
2018-08-13,197270484.28200397
2018-08-14,269892078.9183884
2018-08-15,200837849.39538807
2018-08-16,144570140.0515524
2018-08-17,191472007.26796508
2018-08-18,94262266.63316885
2018-08-19,60934373.35536917
2018-08-20,144458179.2500139
2018-08-21,185113924.12913784
2018-08-22,224756955.4905388
2018-08-23,180020520.33553675
2018-08-24,205562332.27993697
2018-08-25,115352533.80893216
2018-08-26,112623125.38992669
2018-08-27,199744743.81888008
2018-08-28,257234413.67617747
2018-08-29,219854473.7329727
2018-08-30,206619755.97447804
2018-08-31,224236442.6656879
2018-09-01,156964491.45048785
2018-09-02,123059796.87895988
2018-09-03,181026680.392601
2018-09-04,249370987.50131655
2018-09-05,265916838.09141216
2018-09-06,316965298.8316233
2018-09-07,172067228.49264205
2018-09-08,95461625.0177507
2018-09-09,112663679.30156969
2018-09-10,149872706.29573393
2018-09-11,156117648.73581177
2018-09-12,184113952.5737819
2018-09-13,423653727.9253715
2018-09-14,151294735.78388488
2018-09-15,100396345.5715948
2018-09-16,55591687.71822363
2018-09-17,127100076.10607672
2018-09-18,150899884.6544827
2018-09-19,150284907.7886671
2018-09-20,165725317.3877046
2018-09-21,267672155.25035265
2018-09-22,105736127.829508
2018-09-23,80298655.17713901
2018-09-24,127606559.49008457
2018-09-25,155334638.2414871
2018-09-26,181358947.91149217
2018-09-27,180243845.00947967
2018-09-28,199492146.15119436
2018-09-29,88105742.58806686
2018-09-30,89795231.55076441
2018-10-01,161758724.89540565
2018-10-02,135875902.89939064
2018-10-03,174408789.67524472
2018-10-04,157619451.5893716
2018-10-05,114457560.31319132
2018-10-06,72269822.90435316
2018-10-07,68152960.05062379
2018-10-08,138461623.43562853
2018-10-09,143594018.17019403
2018-10-10,188295372.418923
2018-10-11,259436284.14790288
2018-10-12,222929501.19815916
2018-10-13,74647852.14202522
2018-10-14,93185037.87435372
2018-10-15,369626151.764434
2018-10-16,184403479.2194655
2018-10-17,166491102.21358997
2018-10-18,200535378.80895653
2018-10-19,251221826.36134297
2018-10-20,114680664.32302275
2018-10-21,68810902.10959709
2018-10-22,160214500.86693615
2018-10-23,179424794.84040573
2018-10-24,154476547.83948016
2018-10-25,225424156.87477273
2018-10-26,149575125.49287143
2018-10-27,90310908.71203987
2018-10-28,61711108.06408575
2018-10-29,213600769.03537753
2018-10-30,152961141.3402617
2018-10-31,184954295.99488145
2018-11-01,161898417.80139357
2018-11-02,325996340.13245034
2018-11-03,65509209.41785722
2018-11-04,89332763.65110981
2018-11-05,190002482.5246235
2018-11-06,233222247.5528893
2018-11-07,208452760.72819167
2018-11-08,196852299.83552128
2018-11-09,185703334.0954648
2018-11-10,73608980.46338238
2018-11-11,77402689.70717175
2018-11-12,170167007.8581548
2018-11-13,197587533.60423523
2018-11-14,307894278.09915745
2018-11-15,376842162.9855614
2018-11-16,233509388.33721563
2018-11-17,91837701.2018832
2018-11-18,88939160.18172523
2018-11-19,374307659.72917694
2018-11-20,446294742.74731255
2018-11-21,219429052.7600364
2018-11-22,150030809.562963
2018-11-23,172734531.62664828
2018-11-24,152785016.96337643
2018-11-25,255380492.02675304
2018-11-26,226824039.61632344
2018-11-27,220688892.679255
2018-11-28,295631929.08525383
2018-11-29,198680688.64312324
2018-11-30,543494773.9576372
2018-12-01,204541170.3161863
2018-12-02,86052239.22929673
2018-12-03,233926340.34267247
2018-12-04,231920031.83537373
2018-12-05,232316055.12385127
2018-12-06,233160105.9145452
2018-12-07,224226023.11742097
2018-12-08,103517832.35062297
2018-12-09,87504883.41037773
