time,CapFutExp10yrUSD
2018-10-31,128528838451.34537
2018-11-01,129277542589.42352
2018-11-02,129384761531.71367
2018-11-03,129065663929.10397
2018-11-04,130860238657.2062
2018-11-05,130505502766.83643
2018-11-06,131285354194.73401
2018-11-07,132503999117.35805
2018-11-08,130586873045.67934
2018-11-09,129051800915.15024
2018-11-10,129496102389.68048
2018-11-11,129136796830.13934
2018-11-12,128837359324.69235
2018-11-13,127763953711.30928
2018-11-14,113625351212.77054
2018-11-15,112898789636.12549
2018-11-16,112032641173.74219
2018-11-17,112137360632.05566
2018-11-18,113244983854.99744
2018-11-19,97688765360.33185
2018-11-20,88013544069.80772
2018-11-21,92739393485.5614
2018-11-22,87731408559.33762
2018-11-23,87452502254.34976
2018-11-24,77595315146.67633
2018-11-25,80461013781.56877
2018-11-26,75435151896.25815
2018-11-27,76990786468.11923
2018-11-28,85796889890.68073
2018-11-29,86420688686.2685
2018-11-30,81004417199.42534
2018-12-01,84567641065.35913
2018-12-02,83562732135.31645
2018-12-03,78369320532.52028
2018-12-04,79368640512.92361
2018-12-05,75629647501.01942
2018-12-06,71602704040.64119
2018-12-07,68769890513.04202
2018-12-08,69483252553.14001
2018-12-09,72185209319.9199
2018-12-10,69599616522.48145
2018-12-11,68355965792.29441
2018-12-12,69792997740.34848
2018-12-13,66476902805.86974
2018-12-14,65225834220.61934
2018-12-15,64943699567.20121
2018-12-16,65155116899.89207
2018-12-17,71349347948.82959
2018-12-18,74620113366.87694
2018-12-19,75399854444.56746
2018-12-20,82945589170.4132
2018-12-21,78283954166.95728
2018-12-22,80851508492.07423
2018-12-23,80398286301.35783
2018-12-24,82384979870.6062
2018-12-25,76707496560.56493
2018-12-26,77647975892.3293
2018-12-27,73117781299.55171
2018-12-28,79146807078.12334
2018-12-29,77966532272.89272
2018-12-30,78013859521.1322
2018-12-31,75196202498.27603
2019-01-01,77663070418.98642
2019-01-02,79501082121.10268
2019-01-03,77180944621.9089
2019-01-04,78061574675.62115
2019-01-05,77472915607.52888
2019-01-06,82519130401.65405
2019-01-07,81602724531.88824
2019-01-08,81432548731.90347
2019-01-09,81670904831.07991
2019-01-10,73995637079.85677
2019-01-11,73920151797.91885
2019-01-12,73775314224.80367
2019-01-13,71566042669.06577
2019-01-14,74795219699.41963
2019-01-15,73048898281.00523
2019-01-16,73573728478.31453
2019-01-17,74250478100.42404
2019-01-18,73624996327.69165
2019-01-19,75214259488.09784
2019-01-20,72176038161.68492
2019-01-21,72121988321.8298
2019-01-22,72973032326.66768
2019-01-23,72455415047.83186
2019-01-24,72776484165.2339
2019-01-25,72649992067.42711
2019-01-26,72562891747.4537
2019-01-27,72167366957.4119
2019-01-28,70075887111.12064
2019-01-29,69276385951.68471
2019-01-30,70135406992.8011
2019-01-31,69569823353.43907
2019-02-01,70283038801.51945
2019-02-02,70628296059.28963
2019-02-03,69631128471.46497
2019-02-04,69598582844.43277
2019-02-05,69906969378.13629
2019-02-06,68704954036.391
2019-02-07,68529738747.56093
2019-02-08,73704879799.1766
2019-02-09,73885039016.891
2019-02-10,74309286181.69774
2019-02-11,73261290827.33908
2019-02-12,73206592057.49113
2019-02-13,72966334189.64072
2019-02-14,72678015311.74084
2019-02-15,72741782711.94559
2019-02-16,73145182655.36497
2019-02-17,73921895512.16443
2019-02-18,78888801614.96214
2019-02-19,79487743228.99855
2019-02-20,80226779428.1966
2019-02-21,79424502863.49605
2019-02-22,80569014048.45483
2019-02-23,83872655720.49951
2019-02-24,76609511005.96982
2019-02-25,77994633667.79778
2019-02-26,77468206523.61026
2019-02-27,77534486987.83615
2019-02-28,77404070979.14
2019-03-01,77765939186.40636
2019-03-02,77746535635.92273
2019-03-03,77191050147.1258
2019-03-04,75473075240.5937
2019-03-05,78371253289.93694
2019-03-06,78614280266.13817
2019-03-07,78695234698.29883
2019-03-08,78355493466.02698
2019-03-09,79807990774.31355
2019-03-10,79677195955.13513
2019-03-11,78609751377.77039
2019-03-12,78760541996.81416
2019-03-13,78619354691.6311
2019-03-14,78657553008.25122
2019-03-15,79640861270.11288
2019-03-16,81435609277.62944
2019-03-17,80974153095.20898
2019-03-18,81022029064.42131
2019-03-19,81568667813.37407
2019-03-20,82273628426.61581
2019-03-21,81164484656.90375
2019-03-22,81320901151.11769
2019-03-23,81278700084.8598
2019-03-24,81052865384.72993
2019-03-25,79779429010.2824
2019-03-26,79974675544.3403
2019-03-27,82205659618.32394
2019-03-28,81878519031.61885
2019-03-29,83482423805.63066
2019-03-30,83532918597.33414
2019-03-31,83583348670.82408
2019-04-01,84484506288.93253
2019-04-02,100109103349.48666
2019-04-03,101263813795.28587
2019-04-04,100265405027.89241
2019-04-05,102756420422.29076
2019-04-06,102984769658.68378
2019-04-07,105941209680.68745
2019-04-08,107867891714.58685
2019-04-09,106075492021.25928
2019-04-10,108448375884.67897
2019-04-11,103119305847.43056
2019-04-12,103777838139.85805
2019-04-13,103614126638.9561
2019-04-14,105289610524.79099
2019-04-15,102965058673.40562
2019-04-16,106295677037.93529
2019-04-17,106713113109.0775
2019-04-18,107779157754.07834
2019-04-19,108014183189.68681
2019-04-20,108505770946.88292
2019-04-21,108134681282.51877
2019-04-22,109934049338.25175
2019-04-23,113223861303.49052
2019-04-24,110919570214.23128
2019-04-25,104707470653.5401
2019-04-26,105167963750.12961
2019-04-27,105815234982.74745
2019-04-28,105139847900.4126
2019-04-29,105143831863.26292
2019-04-30,107550943426.25356
2019-05-01,108543960946.63911
2019-05-02,110137451632.54535
2019-05-03,115556721788.90645
2019-05-04,117932629919.93874
2019-05-05,116986994122.1207
2019-05-06,116239581903.87465
2019-05-07,118978532554.35757
2019-05-08,121145905026.22224
2019-05-09,125606528510.2425
2019-05-10,129842003334.73233
2019-05-11,149605718295.58078
2019-05-12,141796168259.8983
2019-05-13,159286922336.4479
2019-05-14,162488312744.26514
2019-05-15,167793430346.23566
2019-05-16,160582529934.55176
2019-05-17,149653820311.575
2019-05-18,148656091474.1294
2019-05-19,167893948870.3531
2019-05-20,163022316486.07043
2019-05-21,163078743973.6856
2019-05-22,156627983210.48694
2019-05-23,161319215175.78012
2019-05-24,163151950096.24942
2019-05-25,164675344135.08798
2019-05-26,178362421098.65436
2019-05-27,180106398317.73373
2019-05-28,178113648895.33466
2019-05-29,176816023252.66138
2019-05-30,168976389844.89398
2019-05-31,174791894552.85886
2019-06-01,174765009384.81293
2019-06-02,178639017503.58936
2019-06-03,166976508990.00955
2019-06-04,156284411676.41275
2019-06-05,159322289441.8597
2019-06-06,158878192497.16232
2019-06-07,163931218626.4785
2019-06-08,162213655761.12088
2019-06-09,155969020855.98538
2019-06-10,163310427283.02618
2019-06-11,161865302811.637
2019-06-12,166449111192.25345
2019-06-13,168208581981.26276
2019-06-14,177716207364.08307
2019-06-15,180835715951.38846
2019-06-16,184289181383.52798
2019-06-17,190851007732.91177
2019-06-18,184857617814.82672
2019-06-19,189721600670.81815
2019-06-20,195070332906.90686
2019-06-21,206040303128.0554
2019-06-22,218339683108.09723
