time,TxCntSec
2019-12-10,3.7206712962962962
2019-12-11,3.3351273148148146
2019-12-12,3.5887962962962963
2019-12-13,3.8137962962962964
2019-12-14,3.371284722222222
2019-12-15,2.9903472222222223
2019-12-16,3.820902777777778
2019-12-17,3.644085648148148
2019-12-18,3.6828703703703702
2019-12-19,3.69400462962963
2019-12-20,3.8438310185185185
2019-12-21,3.5305787037037035
2019-12-22,3.2654282407407407
2019-12-23,3.633298611111111
2019-12-24,3.2841435185185186
2019-12-25,2.7955439814814813
2019-12-26,3.5049189814814814
2019-12-27,3.764571759259259
2019-12-28,3.37125
2019-12-29,3.2574074074074075
2019-12-30,3.7803935185185185
2019-12-31,3.3561111111111113
2020-01-01,2.9151273148148147
2020-01-02,3.378877314814815
2020-01-03,3.740196759259259
2020-01-04,3.267372685185185
2020-01-05,3.335787037037037
2020-01-06,3.4472569444444443
2020-01-07,4.0186574074074075
2020-01-08,3.6878819444444444
2020-01-09,3.736550925925926
2020-01-10,3.8479513888888888
2020-01-11,3.5133680555555555
2020-01-12,3.2274652777777777
2020-01-13,3.4697453703703705
2020-01-14,4.015949074074074
2020-01-15,3.8059375
2020-01-16,3.77994212962963
2020-01-17,3.7486574074074075
2020-01-18,3.3677083333333333
2020-01-19,3.2651041666666667
2020-01-20,3.6223032407407407
2020-01-21,3.6092013888888888
2020-01-22,3.7775462962962965
2020-01-23,3.903703703703704
2020-01-24,3.6090625
2020-01-25,3.278842592592593
2020-01-26,2.9715162037037035
2020-01-27,3.303240740740741
2020-01-28,3.932685185185185
2020-01-29,3.936053240740741
2020-01-30,3.8493518518518517
2020-01-31,3.8121412037037037
2020-02-01,3.52875
2020-02-02,3.3840625
2020-02-03,3.8915046296296296
2020-02-04,3.562685185185185
2020-02-05,4.203159722222222
2020-02-06,3.7260185185185186
2020-02-07,3.8578587962962962
2020-02-08,3.651921296296296
2020-02-09,3.691828703703704
2020-02-10,3.4196875
2020-02-11,4.188298611111111
2020-02-12,4.0621875
2020-02-13,3.8977430555555554
2020-02-14,3.8092939814814817
2020-02-15,3.6681828703703703
2020-02-16,3.4667476851851853
2020-02-17,3.9112847222222222
2020-02-18,3.785347222222222
2020-02-19,3.9363888888888887
2020-02-20,3.6109027777777776
2020-02-21,3.951273148148148
2020-02-22,3.4741435185185185
2020-02-23,3.346226851851852
2020-02-24,3.7968171296296296
2020-02-25,3.927233796296296
2020-02-26,3.802511574074074
2020-02-27,3.9142824074074074
2020-02-28,4.185798611111111
2020-02-29,3.5773842592592593
2020-03-01,3.619409722222222
2020-03-02,3.954340277777778
2020-03-03,4.014212962962963
2020-03-04,4.056747685185186
2020-03-05,4.055798611111111
2020-03-06,3.9208101851851853
2020-03-07,3.631736111111111
2020-03-08,3.524699074074074
2020-03-09,4.020266203703704
2020-03-10,3.81375
2020-03-11,3.3597685185185187
2020-03-12,4.005289351851852
2020-03-13,3.236828703703704
2020-03-14,3.1947800925925924
2020-03-15,2.6027314814814817
2020-03-16,3.1202199074074075
2020-03-17,3.2323726851851853
2020-03-18,2.699212962962963
2020-03-19,3.0734143518518517
2020-03-20,3.27375
2020-03-21,2.7587847222222224
2020-03-22,2.494201388888889
2020-03-23,2.9742824074074075
2020-03-24,3.2449421296296297
2020-03-25,2.5436574074074074
2020-03-26,3.316215277777778
2020-03-27,3.161747685185185
2020-03-28,2.800428240740741
2020-03-29,2.717025462962963
2020-03-30,3.2208217592592594
2020-03-31,3.33724537037037
2020-04-01,3.30244212962963
2020-04-02,3.4724537037037035
2020-04-03,3.196273148148148
2020-04-04,2.958946759259259
2020-04-05,2.752013888888889
2020-04-06,3.2714351851851853
2020-04-07,3.5941435185185187
2020-04-08,3.277199074074074
2020-04-09,3.347789351851852
2020-04-10,3.3111342592592594
2020-04-11,2.883576388888889
2020-04-12,2.691087962962963
2020-04-13,3.263240740740741
2020-04-14,3.5084375
2020-04-15,3.5810416666666667
2020-04-16,3.7258217592592593
2020-04-17,3.324097222222222
2020-04-18,3.305
2020-04-19,2.94056712962963
2020-04-20,3.5550231481481482
2020-04-21,3.6048032407407407
2020-04-22,3.2833449074074075
2020-04-23,3.7893055555555555
2020-04-24,3.676875
2020-04-25,3.223576388888889
2020-04-26,2.9750694444444443
2020-04-27,3.600578703703704
2020-04-28,3.778564814814815
2020-04-29,3.8230092592592593
2020-04-30,3.7136689814814816
2020-05-01,3.8258217592592594
2020-05-02,3.3871064814814815
2020-05-03,3.2817708333333333
