time,TxMeanByte
2019-02-10,420.1546982901048
2019-02-11,501.0614807189803
2019-02-12,615.0272081539771
2019-02-13,500.3247091316914
2019-02-14,441.9792260841845
2019-02-15,471.3098146793876
2019-02-16,455.5396297311052
2019-02-17,428.1564421018556
2019-02-18,486.21094535166776
2019-02-19,475.01618414780523
2019-02-20,492.7687993128022
2019-02-21,471.19614912884964
2019-02-22,501.8081762801663
2019-02-23,428.12605144422196
2019-02-24,446.3329141259369
2019-02-25,471.2844870096306
2019-02-26,479.9784160101262
2019-02-27,460.38573543069447
2019-02-28,461.08128277695766
2019-03-01,481.3023232192134
2019-03-02,454.12879022461476
2019-03-03,414.242776723789
2019-03-04,497.52103304535365
2019-03-05,537.007395455627
2019-03-06,569.1743377131893
2019-03-07,506.81531769094914
2019-03-08,511.06636659375164
2019-03-09,508.4220725535718
2019-03-10,500.48204362143383
2019-03-11,529.7118012085188
2019-03-12,502.64898670764876
2019-03-13,549.2860639886421
2019-03-14,539.3952535433388
2019-03-15,508.7663602384079
2019-03-16,490.10380261336724
2019-03-17,477.0841040080954
2019-03-18,511.91039261762216
2019-03-19,519.4192502559528
2019-03-20,523.672084863588
2019-03-21,494.3519979249248
2019-03-22,509.36957162573214
2019-03-23,484.1731743867583
2019-03-24,499.78589177860493
2019-03-25,485.4852214990484
2019-03-26,441.6903975001025
2019-03-27,466.43792309739916
2019-03-28,451.3912821502775
2019-03-29,490.467060735445
2019-03-30,443.3030919866697
2019-03-31,427.3896665024681
2019-04-01,444.3362473705895
2019-04-02,475.26336029010696
2019-04-03,492.0224094378899
2019-04-04,478.7755032989342
2019-04-05,506.49711178278943
2019-04-06,468.37616980329244
2019-04-07,457.9536777980271
2019-04-08,484.15256285293106
2019-04-09,477.2215614714903
2019-04-10,452.9915561373113
2019-04-11,468.3510707494006
2019-04-12,474.5916919475432
2019-04-13,407.25099706872703
2019-04-14,433.00114233154324
2019-04-15,466.41082855143065
2019-04-16,506.5869428785803
2019-04-17,483.6759053079659
2019-04-18,472.62149036114045
2019-04-19,508.89500949940356
2019-04-20,508.0728739369682
2019-04-21,473.6209553789651
2019-04-22,447.48688650172187
2019-04-23,467.2269039913008
2019-04-24,497.6669230902421
2019-04-25,454.0064854760222
2019-04-26,497.2772521110467
2019-04-27,446.56709599786035
2019-04-28,415.69225731885183
2019-04-29,539.9651052980809
2019-04-30,523.2485641555503
2019-05-01,438.37577607957246
2019-05-02,447.4650212307187
2019-05-03,487.35819983708933
2019-05-04,440.4901576241184
2019-05-05,466.5803399731501
2019-05-06,487.58117027235517
2019-05-07,488.0314569486247
2019-05-08,480.65042573922415
2019-05-09,522.1479634592569
2019-05-10,487.44020832107725
2019-05-11,467.497490991631
2019-05-12,576.1971019372592
2019-05-13,514.7057997889493
2019-05-14,509.1646895500442
2019-05-15,499.8869967823349
2019-05-16,484.71155702257244
2019-05-17,526.6347890525202
2019-05-18,528.391146609434
2019-05-19,528.1742869581016
2019-05-20,496.7078530957958
2019-05-21,505.55329505446457
2019-05-22,507.9776670287956
2019-05-23,497.8954906085381
2019-05-24,513.1819103353463
2019-05-25,487.20222932759674
2019-05-26,441.6532806518529
2019-05-27,497.6073216144791
2019-05-28,530.4272860227388
2019-05-29,525.7376658315955
2019-05-30,515.212251309456
2019-05-31,505.4465596644778
2019-06-01,565.6399160473604
2019-06-02,522.4700783713121
2019-06-03,508.6347526776394
2019-06-04,514.962851188618
2019-06-05,531.8242999023995
2019-06-06,499.0162759309349
2019-06-07,536.1438897634639
2019-06-08,481.7978931205393
2019-06-09,453.0134289521693
2019-06-10,510.88637526899686
2019-06-11,528.3908896780431
2019-06-12,502.52284573043005
2019-06-13,523.8587436500511
2019-06-14,598.4323857040529
2019-06-15,544.2215927288993
2019-06-16,517.3682151638925
2019-06-17,511.03367780435576
2019-06-18,510.2192187780969
2019-06-19,511.7472246603761
2019-06-20,543.1246095915521
2019-06-21,498.4102107828186
2019-06-22,481.53076890489314
2019-06-23,561.5988876260234
2019-06-24,554.1088035803491
2019-06-25,503.25680922008405
2019-06-26,512.2974496026264
2019-06-27,485.02791303143647
