time,CapMrktCurUSD
2020-02-19,175632690004.13687
2020-02-20,175247351456.81827
2020-02-21,176865876880.39227
2020-02-22,176399792167.0473
2020-02-23,181843236236.80328
2020-02-24,175937259068.28143
2020-02-25,170415547339.4431
2020-02-26,160483857843.0548
2020-02-27,160137770415.14587
2020-02-28,159636352746.77155
2020-02-29,156577275161.4932
2020-03-01,155860614930.0949
2020-03-02,162527106819.9153
2020-03-03,160036426101.82803
2020-03-04,159827648015.21225
2020-03-05,165435942800.14697
2020-03-06,166995631895.5666
2020-03-07,162471226444.75668
2020-03-08,148086770498.23337
2020-03-09,144207873678.32483
2020-03-10,144468246215.19913
2020-03-11,145017268327.98505
2020-03-12,90594467680.79959
2020-03-13,102812902144.09328
2020-03-14,94005928118.49551
2020-03-15,97913564614.60316
2020-03-16,91604630050.69981
2020-03-17,98992369512.90936
2020-03-18,98555627712.75357
2020-03-19,113387305928.47572
2020-03-20,112858311337.38544
2020-03-21,112898621139.26904
2020-03-22,106596093106.52202
2020-03-23,118595581239.08948
2020-03-24,123884332494.96886
2020-03-25,122336150605.96745
2020-03-26,123528980419.07896
2020-03-27,118719519155.59431
2020-03-28,113993258453.11453
2020-03-29,108023566970.573
2020-03-30,117768692186.59364
2020-03-31,117698734312.41174
2020-04-01,121567284407.78577
2020-04-02,124318508345.339
2020-04-03,123582214925.00829
2020-04-04,125574021300.844
2020-04-05,124322577425.2926
2020-04-06,133622754419.986
2020-04-07,131613224221.5547
2020-04-08,135006761796.008
2020-04-09,133691006813.91692
2020-04-10,125650890516.87971
2020-04-11,126092446156.63509
2020-04-12,127854957413.5737
2020-04-13,125761070198.93243
2020-04-14,125994705942.76488
2020-04-15,121426285928.7838
2020-04-16,130646051882.06584
2020-04-17,129806876584.3978
2020-04-18,133146355855.414
2020-04-19,131096633928.62564
2020-04-20,125665595004.13223
2020-04-21,125992868717.38625
2020-04-22,130648436527.64308
2020-04-23,137354908752.06412
2020-04-24,137695605129.5817
2020-04-25,138282481992.70456
2020-04-26,140980122465.1078
2020-04-27,142707868307.3903
2020-04-28,142583524348.09668
2020-04-29,160802206508.21957
2020-04-30,158808556147.54883
2020-05-01,162552358585.9274
2020-05-02,164803746448.9257
2020-05-03,163344877181.00287
2020-05-04,163089932635.14145
2020-05-05,165015950017.1822
2020-05-06,170192827716.01007
2020-05-07,183562058560.50375
2020-05-08,181109783310.85468
2020-05-09,175946177530.54236
2020-05-10,160123200654.1847
2020-05-11,157871609470.3379
2020-05-12,162025014405.08948
2020-05-13,171325501477.10483
2020-05-14,180121529585.91864
2020-05-15,171410710236.33826
2020-05-16,172678841534.62964
2020-05-17,177960818089.3417
2020-05-18,178783137073.02304
2020-05-19,179292877588.7186
2020-05-20,174915846484.68948
2020-05-21,166708415917.14926
2020-05-22,168424610263.70425
2020-05-23,168833062758.505
2020-05-24,161900721760.6346
2020-05-25,163800615663.85913
2020-05-26,162445913210.84167
2020-05-27,168593394454.69797
2020-05-28,175941484285.8252
2020-05-29,173450984634.78247
2020-05-30,178228052044.65002
2020-05-31,173497171389.7032
2020-06-01,187578142707.61475
2020-06-02,174954690421.54977
2020-06-03,177352731439.34332
2020-06-04,180508843644.39648
2020-06-05,177365595706.9578
2020-06-06,177870046318.47617
2020-06-07,179331395772.25357
2020-06-08,179741658882.79865
2020-06-09,179936892008.73267
2020-06-10,181952982732.76923
2020-06-11,170721091857.55527
2020-06-12,174019304039.34656
2020-06-13,174123830972.77356
2020-06-14,171955158128.0987
2020-06-15,173774840415.629
2020-06-16,175232451346.34097
2020-06-17,173926399830.38492
2020-06-18,172853049353.45227
2020-06-19,170946908488.14093
2020-06-20,172267506962.98328
2020-06-21,170940831096.1998
2020-06-22,178311094487.316
2020-06-23,176978474354.71844
2020-06-24,171116880435.0637
2020-06-25,170281277784.0368
2020-06-26,168676013923.73868
2020-06-27,165787526267.54556
2020-06-28,167746363406.58917
2020-06-29,169157750925.37515
2020-06-30,168424268927.21072
2020-07-01,170227137442.6157
2020-07-02,167529570926.75983
2020-07-03,167028603057.3506
2020-07-04,168134212097.31125
2020-07-05,167284838602.93985
2020-07-06,172071754943.9324
2020-07-07,170482056186.43045
2020-07-08,173852067499.54385
2020-07-09,170119612182.24487
2020-07-10,171118891700.69153
2020-07-11,170242376319.11676
2020-07-12,171208222386.19006
2020-07-13,170249528195.09436
2020-07-14,170695336818.95126
2020-07-15,169530356543.2783
2020-07-16,168355901495.54816
