time,CapRealUSD
2014-02-19,3892632453.31552
2014-02-20,3888482643.590906
2014-02-21,3890430178.824623
2014-02-22,3891837611.7160754
2014-02-23,3893781087.4677863
2014-02-24,3872723717.5895414
2014-02-25,3843245404.458786
2014-02-26,3850402106.5670476
2014-02-27,3848485685.6974277
2014-02-28,3856204308.144244
2014-03-01,3853857303.546073
2014-03-02,3851371132.148352
2014-03-03,3868262575.770434
2014-03-04,3872020748.6114883
2014-03-05,3880431367.423646
2014-03-06,3889727123.613601
2014-03-07,4016415332.1875963
2014-03-08,4021423892.292103
2014-03-09,4099909424.623113
2014-03-10,4108751069.8096414
2014-03-11,4115784507.274163
2014-03-12,4126260118.9316773
2014-03-13,4132899213.6456404
2014-03-14,4130978463.2272954
2014-03-15,4134455115.274487
2014-03-16,4137869299.789612
2014-03-17,4139920592.8516645
2014-03-18,4144313535.1408663
2014-03-19,4146980501.025202
2014-03-20,4144494343.5971217
2014-03-21,4159896132.571709
2014-03-22,4162093966.666859
2014-03-23,4163387907.8012176
2014-03-24,4168041075.8293023
2014-03-25,4173210953.472093
2014-03-26,4175664587.7295804
2014-03-27,4165815572.057158
2014-03-28,4161773332.028217
2014-03-29,4160805051.9765663
2014-03-30,4154660791.6294637
2014-03-31,4146595394.933397
2014-04-01,4146119120.286027
2014-04-02,4140230692.527319
2014-04-03,4140669200.481661
2014-04-04,4139218327.71354
2014-04-05,4126585239.0748925
2014-04-06,4128203768.7238545
2014-04-07,4127179031.4689503
2014-04-08,4125344432.9361587
2014-04-09,4127146128.020096
2014-04-10,4105608309.232808
2014-04-11,4097885868.7371078
2014-04-12,4098361620.1395683
2014-04-13,4099434495.5439577
2014-04-14,4102957915.698429
2014-04-15,4110476590.3520923
2014-04-16,4130354365.980162
2014-04-17,4135560559.299885
2014-04-18,4133000689.3148384
2014-04-19,4135891301.6928453
2014-04-20,4135125483.8549423
2014-04-21,4136987701.618347
2014-04-22,4135925853.045851
2014-04-23,4144494872.2341757
2014-04-24,4148091039.296693
2014-04-25,4145605361.028642
2014-04-26,4146068034.051918
2014-04-27,4146109003.782584
2014-04-28,4142539299.4289346
2014-04-29,4142347220.619332
2014-04-30,4142840842.3007045
2014-05-01,4144739702.569334
2014-05-02,4146120820.336008
2014-05-03,4145757456.8216257
2014-05-04,4145485878.1123834
2014-05-05,4143722880.0942264
2014-05-06,4142083525.3027053
2014-05-07,4142293724.4962115
2014-05-08,4143152016.0134206
2014-05-09,4145395138.8495784
2014-05-10,4147225706.555941
2014-05-11,4147708056.4672227
2014-05-12,4147774931.6932573
2014-05-13,4147627463.576138
2014-05-14,4147196472.014054
2014-05-15,4148093031.066726
2014-05-16,4148039206.2433662
2014-05-17,4149497252.462731
2014-05-18,4151345809.3329177
2014-05-19,4151791561.9876604
2014-05-20,4158558252.5193334
2014-05-21,4163219185.722129
2014-05-22,4171803438.18929
2014-05-23,4176305744.999543
2014-05-24,4182995226.148117
